User Name,First Name,Last Name,Email,User Details,Password,Is Password Encrypted(True/False),Enable User(Yes/No),Change Password on Next Login(Yes/No),User Identity Groups,Enable Password,Is Enable Password Encrypted(True/False),Password ID Store,Expiry Date(MM/dd/yyyy),Password Never Expires(Yes/No),Account Name Alias,Date Created (MM/dd/yyyy),Date Modified (MM/dd/yyyy)
hayley,Hayley,Rob,hayley@pseudoco.com,,C1sco12345,FALSE,Yes,No,Employee,C1sco12345,FALSE,Internal Users,,Yes,,1/1/24,1/1/24
brad,Brad,Brighton,brad@pseudoco.com,,C1sco12345,FALSE,Yes,No,Employee,C1sco12345,FALSE,Internal Users,,Yes,,1/1/24,1/1/24
paul,Paul,Cole,paul@pseudoco.com,,C1sco12345,FALSE,Yes,No,Employee,C1sco12345,FALSE,Internal Users,,Yes,,1/1/24,1/1/24
arthur,Arthur,Hill,arthur@pseudoco.com,,C1sco12345,FALSE,Yes,No,Employee,C1sco12345,FALSE,Internal Users,,Yes,,1/1/24,1/1/24
ryan,Ryan,Campbell,ryan@pseudoco.com,,C1sco12345,FALSE,Yes,No,Employee,C1sco12345,FALSE,Internal Users,,Yes,,1/1/24,1/1/24
anita,Anita,Cooper,anita@pseudoco.com,,C1sco12345,FALSE,Yes,No,Employee,C1sco12345,FALSE,Internal Users,,Yes,,1/1/24,1/1/24
cathy,Cathy,Brown,cathy@pseudoco.com,,C1sco12345,FALSE,Yes,No,Employee,C1sco12345,FALSE,Internal Users,,Yes,,1/1/24,1/1/24
victoria,Victoria,Price,victoria@pseudoco.com,,C1sco12345,FALSE,Yes,No,Employee,C1sco12345,FALSE,Internal Users,,Yes,,1/1/24,1/1/24
sarah,Sarah,Jennings,sarah@pseudoco.com,,C1sco12345,FALSE,Yes,No,Employee,C1sco12345,FALSE,Internal Users,,Yes,,1/1/24,1/1/24
ruby,Ruby,York,ruby@pseudoco.com,,C1sco12345,FALSE,Yes,No,Employee,C1sco12345,FALSE,Internal Users,,Yes,,1/1/24,1/1/24
carol,Carol,Freeman,carol@pseudoco.com,,C1sco12345,FALSE,Yes,No,Employee,C1sco12345,FALSE,Internal Users,,Yes,,1/1/24,1/1/24
